pole_id,bus,feeder,bus_type,phase_count,phase_type,pole_height_ft,pole_height_m,longitude,latitude,depth_in_tree,parent_bus,parent_pole_id,span_ft_to_parent,span_m_to_parent,spacing_template
P0001,e192860,S1,e,3,3-phase,40,12.19,-119.0754097,46.69173926,3,d5710794-3_int,,0.0,0.0,
P0002,m1209817,S1,m,3,3-phase,40,12.19,-119.0758362,46.69164238,4,e192860,P0001,64.3,19.6,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0003,l2801909,S1,l,3,3-phase,40,12.19,-119.0759062,46.69128624,5,m1209817,P0002,82.9,25.27,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0004,m1209814,S1,m,3,3-phase,40,12.19,-119.0760983,46.69030928,6,l2801909,P0003,227.3,69.28,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0005,m1209811,S1,m,3,3-phase,40,12.19,-119.0764049,46.68880242,7,m1209814,P0004,350.9,106.95,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0006,m1209807,S1,m,3,3-phase,40,12.19,-119.0767661,46.68707638,8,m1209811,P0005,402.3,122.62,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0007,m1209805,S1,m,3,3-phase,40,12.19,-119.0775224,46.6870583,9,m1209807,P0006,144.9,44.17,3ph_h-397_acsr397_acsr397_acsr397_acsr_ABC
P0008,l2823592,S1,l,3,3-phase,40,12.19,-119.0790532,46.68625512,10,m1209805,P0007,346.3,105.55,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0009,l2823592_cap,S1,l,1,1-phase,35,10.67,-119.079055,46.68625,11,l2823592,P0008,0.003,0.0,
P0010,e192201,S1,e,3,3-phase,40,12.19,-119.0800287,46.68576734,14,d5513564-1_int,,0.0,0.0,
P0011,m1209800,S1,m,3,3-phase,40,12.19,-119.0808273,46.68533204,15,e192201,P0010,182.7,55.69,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0012,p829957,S1,p,1,1-phase,35,10.67,-119.0816759,46.68607652,16,m1209800,P0011,33.1,10.09,1ph-xx4_acsr4_acsr_C
P0013,l2839332,S1,l,1,1-phase,35,10.67,-119.0807156,46.6861094,16,m1209800,P0011,179.7,54.77,1ph-xx4_acsr4_acsr_C
P0014,m1209797,S1,m,3,3-phase,40,12.19,-119.0819293,46.68476974,16,m1209800,P0011,247.4,75.41,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0015,m1209791,S1,m,3,3-phase,40,12.19,-119.0829379,46.68432474,17,m1209797,P0014,218.5,66.6,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0016,l3160863,S1,l,1,1-phase,35,10.67,-119.0820659,46.6875899,18,d5746703-1_int,,541.2,164.96,1ph-xx4_acsr4_acsr_C
P0017,m1209790,S1,m,3,3-phase,40,12.19,-119.0837637,46.68393902,18,m1209791,P0015,181.2,55.23,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0018,p903354,S1,p,1,1-phase,35,10.67,-119.0829151,46.68428048,18,m1209791,P0015,11.1,3.38,1ph-4_acsrxx1/0_3w_cs_A
P0019,l2730108,S1,l,1,1-phase,35,10.67,-119.0844061,46.69159994,19,l3160863,P0016,1019.6,310.77,1ph-xx4_acsr4_acsr_C
P0020,m1209788,S1,m,3,3-phase,40,12.19,-119.0846939,46.68360496,19,m1209790,P0017,194.0,59.13,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0021,l2936270,S1,l,1,1-phase,35,10.67,-119.0826115,46.6836912,19,p903354,P0018,147.3,44.9,1ph-4_acsrxx1/0_3w_cs_A
