pole_id,bus,feeder,bus_type,phase_count,phase_type,pole_height_ft,pole_height_m,longitude,latitude,depth_in_tree,parent_bus,parent_pole_id,span_ft_to_parent,span_m_to_parent,spacing_template
P0565,m1047300,S2,m,3,3-phase,40,12.19,-119.2047392,46.6247246,1,hvmv11sub2_lsb,,0.0,0.0,
P0566,l3027116,S2,l,3,3-phase,40,12.19,-119.203882,46.6254012,2,m1047300,P0565,226.0,68.88,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0567,m1047299,S2,m,3,3-phase,40,12.19,-119.2054971,46.62408654,2,m1047300,P0565,206.2,62.85,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0568,m1047303,S2,m,3,3-phase,40,12.19,-119.203005,46.62612896,3,l3027116,P0566,236.9,72.21,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0569,l3139121,S2,l,3,3-phase,40,12.19,-119.2060926,46.6236783,3,m1047299,P0567,147.6,44.99,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0570,l3104157,S2,l,1,1-phase,35,10.67,-119.2055138,46.62487314,3,m1047299,P0567,180.6,55.05,1ph-xx2_acsr2_acsr_C
P0571,l3254238,S2,l,3,3-phase,40,12.19,-119.2017922,46.62712412,4,m1047303,P0568,325.8,99.3,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0572,l3048230,S2,l,1,1-phase,35,10.67,-119.2053859,46.62963488,4,m1047303,P0568,926.1,282.28,1ph-xx4_acsr4_acsr_C
P0573,n1145954,S2,n,3,3-phase,40,12.19,-119.2029393,46.62610526,4,m1047303,P0568,13.7,4.18,3ph_h-4_acsr4_acsr4_acsr4_acsr_ABC
P0574,l2763153,S2,l,3,3-phase,40,12.19,-119.2071597,46.623081,4,l3139121,P0569,246.1,75.01,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0575,l2673346,S2,l,3,3-phase,40,12.19,-119.2002089,46.628414,5,l3254238,P0571,423.8,129.17,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0576,l2991943,S2,l,1,1-phase,35,10.67,-119.2059196,46.63051682,5,l3048230,P0572,226.8,69.13,1ph-xx4_acsr4_acsr_C
P0577,p827580,S2,p,3,3-phase,40,12.19,-119.2028489,46.62607268,5,n1145954,P0573,18.9,5.76,3ph_h-4_acsr4_acsr4_acsr4_acsr_ABC
P0578,m1047293,S2,m,3,3-phase,40,12.19,-119.2077995,46.62264224,5,l2763153,P0574,158.6,48.34,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0579,e182748,S2,e,3,3-phase,40,12.19,-119.1994313,46.62905798,6,l2673346,P0575,209.8,63.95,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0580,m1047319,S2,m,1,1-phase,35,10.67,-119.2070996,46.63102412,6,l2991943,P0576,254.2,77.48,1ph-xx4_acsr4_acsr_C
P0581,m1047292,S2,m,3,3-phase,40,12.19,-119.2080613,46.62245572,6,m1047293,P0578,65.9,20.09,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0582,m1047318,S2,m,1,1-phase,35,10.67,-119.2083681,46.6309951,7,m1047319,P0580,243.0,74.07,1ph-xx4_acsr4_acsr_C
P0583,l2991921,S2,l,1,1-phase,35,10.67,-119.2067473,46.63145108,7,m1047319,P0580,119.0,36.27,1ph-xx2_acsr2_acsr_C
P0584,l2691954,S2,l,3,3-phase,40,12.19,-119.209281,46.62170188,7,m1047292,P0581,290.7,88.61,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0585,l2766750,S2,l,1,1-phase,35,10.67,-119.2088625,46.62295142,7,m1047292,P0581,191.0,58.22,1ph-xx4_acsr4_acsr_C
P0586,m1047309,S2,m,3,3-phase,40,12.19,-119.1993757,46.62910402,8,d6049825-1_int,,15.0,4.57,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0587,l3254205,S2,l,1,1-phase,35,10.67,-119.2093417,46.63623214,8,m1047318,P0582,1266.0,385.88,1ph-xx2_acsr2_acsr_C
P0588,l2841637,S2,l,1,1-phase,35,10.67,-119.2096227,46.63097556,8,m1047318,P0582,240.3,73.24,1ph-xx4_acsr4_acsr_C
