switch_name,category,phases,phase_type,state,bus1,bus2,longitude,latitude,feeder
ln0955074_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1139546,d5955074-2_int,-119.1659339,46.65334524,S2
ln0742811_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5742811-3_int,n1137992,-119.2037622,46.71029558,S3
ln0623395_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,m1047767,d5623395-1_int,-119.2014621,46.74002766,S3
ln4651075_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5860450-1_int,m1047575,-119.1892455,46.71722154,S3
ln4641075_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5860423-3_int,q14733,-119.1903943,46.71621966,S3
ln0621886_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1009805,d5621886-1_int,-119.2378258,46.71204998,S3
ln5587300-1,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5578300-1_int,l2692635,-119.1458521,46.71395458,S1
ln0017316_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,l2729430,d6017316-1_int,-119.2382951,46.7176066,S3
ln4586093_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d6138608-3_int,q14404,-119.1639196,46.65427812,S2
ln0504876_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1142818,d5504876-1_int,-119.1264409,46.67599334,S1
ln0247162_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,d5472341-1_int,f739842,-119.2105506,46.64835404,S2
ln0863704_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,l2858166,d5863704-2_int,-119.1999313,46.71346174,S3
ln0712477_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1139545,d5712477-3_int,-119.1712315,46.6513362,S2
ln4625696_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5926308-3_int,q14412,-119.1944673,46.63315178,S2
ln0774470_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1138594,d5774470-2_int,-119.2200522,46.69313232,S3
ln0108145_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,l2879078,d6108145-1_int,-119.2301729,46.69213664,S3
ln0956471_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,n1136670,d5956471-2_int,-119.2029972,46.7148955,S3
