switch_name,category,phases,phase_type,state,bus1,bus2,longitude,latitude,feeder
tsw803273_sw,N.O. Tie Switch,3,3-phase,OPEN,d5803273-1_int,m1069457,-119.1798462,46.69478842,S3
wf856_48332_sw,N.O. Tie Switch,1,1-phase,OPEN,228-1353934-4_int,193-103041,-119.2075219,46.72397324,S3
ln0653457_sw,N.O. Tie Switch,3,3-phase,OPEN,l3085398,d5653457-1_int,-119.2359255,46.72610558,S3
v7173_48332_sw,N.O. Tie Switch,3,3-phase,OPEN,d5534969-2_int,e182729,-119.1772875,46.7192906,S1
wd701_48332_sw,N.O. Tie Switch,1,1-phase,OPEN,228-1048090-1_int,193-51796,-119.1482803,46.70045114,S1
wf586_48332_sw,N.O. Tie Switch,1,1-phase,OPEN,228-979371-2_int,193-48013,-119.1736427,46.66834782,S2
tsw568613_sw,N.O. Tie Switch,1,1-phase,OPEN,l2692000,l2841000,-119.1902899,46.67257308,S2
wg127_48332_sw,N.O. Tie Switch,1,1-phase,OPEN,228-961799-3_int,193-46661,-119.2033444,46.72229622,S3
a8645_48332_sw,N.O. Tie Switch,3,3-phase,OPEN,d5958866-1_int,e183493,-119.136505,46.66995952,S1
tsw320328_sw,N.O. Tie Switch,1,1-phase,OPEN,d6320328-1_int,l2879062,-119.1610476,46.68999688,S2
a333_48332_sw,N.O. Tie Switch,3,3-phase,OPEN,d5746546-1_int,e182723,-119.1646047,46.69217484,S2
